Topic,Rank,Term,Weight
0,1,the,0.06080044458922707
0,2,of,0.0437209726381249
0,3,and,0.04325812698272981
0,4,to,0.03983665688243421
0,5,in,0.034029316904534694
0,6,of the,0.022373045142364257
0,7,saudi,0.02201448599457209
0,8,that,0.0207989958836567
0,9,is,0.01684652452975995
0,10,for,0.01634936702323576
1,1,bin,0.05029849810402089
1,2,of,0.047156759555681105
1,3,minister,0.04675110738270635
1,4,the,0.04632230011491379
1,5,and,0.03859463810842861
1,6,al,0.030784015565902715
1,7,prince,0.029308510865367666
1,8,minister of,0.027408166774534958
1,9,in,0.023552446072776092
1,10,abdulaziz,0.023503634529712613
2,1,the,0.07594237600042124
2,2,of,0.05631552862468217
2,3,cabinet,0.04776205569916045
2,4,the cabinet,0.04721068106366611
2,5,and,0.038960798359911564
2,6,of the,0.03289017785613705
2,7,in,0.02697178205281604
2,8,on,0.026059982155923814
2,9,to,0.024867407352284963
2,10,king,0.02053303950864646
3,1,relief,0.05478157605302369
3,2,ksrelief,0.04876532611732921
3,3,aid,0.048061026938607296
3,4,the,0.04675217110584615
3,5,humanitarian,0.04646706569099727
3,6,center,0.041806864511766934
3,7,medical,0.04149578107510997
3,8,and,0.0410994495209616
3,9,of,0.040794872827650916
3,10,in,0.040303384308734605
4,1,king,0.06295716507382983
4,2,salman,0.06239655055532966
4,3,king salman,0.059325559122581445
4,4,the,0.049812465310283986
4,5,of,0.046595109599486734
4,6,bin,0.0453064623559086
4,7,of the,0.03813102483259616
4,8,and,0.03762613243857614
4,9,custodian of,0.03707803260648018
4,10,custodian,0.0370123646021649
5,1,the,0.07510915591107419
5,2,ministry,0.05996177855992717
5,3,and,0.04782758149249833
5,4,foreign,0.047052930410407576
5,5,of,0.04691292816471416
5,6,foreign ministry,0.04559574746566852
5,7,in,0.04438209017384993
5,8,people,0.04110093963823254
5,9,the foreign,0.04099714128603827
5,10,government and,0.032119831677671865
6,1,prize,0.09423770638430101
6,2,the,0.06289404978392983
6,3,of,0.061359242959189576
6,4,professor,0.06047598948065574
6,5,for,0.053202594711724976
6,6,prize for,0.046471839514452315
6,7,awarded,0.04618554573844093
6,8,and,0.044156679568593725
6,9,king faisal,0.043951039192895454
6,10,arabic,0.04333801435651168
7,1,campaign,0.12067177105125212
7,2,winter,0.09185636668634435
7,3,syrian,0.08709994973442269
7,4,national campaign,0.08386969752288001
7,5,saudi national,0.07094738194378036
7,6,campaign to,0.06551105749888374
7,7,brothers,0.06394413678786912
7,8,to,0.06282468048158257
7,9,syria,0.06210759816576516
7,10,distributed,0.061143653665624825
