rank,1_Economic Cooperation,2_Belt and Road Initiative (BRI),3_Diplomatic Relations,4_Technology and Innovation,5_Cultural Exchange,6_Geopolitical Strategy,7_Trade Agreements,8_Infrastructure Development,Other_1,Other_2,Other_3
1,4,1047,929,107,179,330,283,1072,377,591,393
2,55,588,1087,151,415,747,504,843,483,957,494
3,67,650,987,114,678,427,215,417,770,551,374
4,20,223,10,219,27,853,490,521,491,140,481
5,201,156,191,128,167,1026,985,960,778,997,438
6,326,1048,808,430,419,390,780,899,356,319,534
7,482,620,835,683,680,106,37,953,473,209,47
8,341,649,1067,46,704,785,399,684,369,142,398
9,137,566,187,857,708,493,387,859,478,657,395
10,741,632,969,275,711,268,814,220,931,53,793
