Iteration,Log Likelihood,Perplexity
1,-4346004.688496859,8272.305655029784
10,-3763185.9955705283,2467.4894462058246
20,-3668633.4930659477,2027.7885985330722
30,-3634046.6357606114,1887.3175824595658
40,-3614481.5279639303,1812.2093912267642
50,-3600409.8138340344,1760.0446559886138
60,-3580991.818710238,1690.5175734706174
70,-3570846.1242189817,1655.2897992185228
80,-3562068.0674100346,1625.4036088534854
90,-3553909.37705723,1598.1101772220873
100,-3548291.3707627864,1579.5830616934418
110,-3543151.8461573576,1562.8220763398028
120,-3537439.5150329475,1544.4016638117314
130,-3530397.6317853723,1521.9923997874926
140,-3523706.29371548,1501.0000241244913
150,-3515220.821409809,1474.794893377912
160,-3509327.8456753297,1456.8656706399302
170,-3501199.9151481465,1432.4937480190324
180,-3493524.241262757,1409.8523713459292
190,-3487277.5245326716,1391.6904607161375
200,-3483015.1819437426,1379.4324541459475
210,-3479828.9134849976,1370.3396878555961
220,-3476167.122881159,1359.963904501936
230,-3470533.682564594,1344.154591157141
240,-3466668.162688295,1333.413099901408
250,-3463118.0705643576,1323.6237517275695
260,-3462602.2418130827,1322.2073509370766
270,-3460365.9743346726,1316.084350098219
280,-3458938.2063854514,1312.1898965354733
290,-3457622.144326471,1308.6103455028954
300,-3455830.945947223,1303.7541574009188
310,-3454246.5643768664,1299.4737006525918
320,-3452645.423935804,1295.1622442701762
330,-3449314.9189678235,1286.239826590005
340,-3447849.1997404774,1282.3326699983256
350,-3446052.623949988,1277.559737510064
360,-3444117.8884686357,1272.439623593564
370,-3442816.4876700677,1269.0071250752403
380,-3443047.373585973,1269.6154198771528
390,-3441349.378236178,1265.1486648869684
400,-3439473.5072726435,1260.232257675096
410,-3438875.645239575,1258.669359574115
420,-3440189.0019932548,1262.1052158757768
430,-3438383.408515458,1257.38403631412
440,-3437368.6359713953,1254.7384137145161
450,-3437318.3465843075,1254.6074486667571
460,-3436951.1483313264,1253.6515947780165
470,-3436207.112913939,1251.7170281299216
480,-3435077.4054573113,1248.785381552467
490,-3433785.055153736,1245.4400879672064
500,-3432369.409220155,1241.785923220131
510,-3432085.910436815,1241.055425784531
520,-3432000.7959269886,1240.8361932760652
530,-3431063.1430127,1238.4236086891606
540,-3430021.2291004686,1235.7482619794582
550,-3429665.021417347,1234.8349455137907
560,-3430550.2741723577,1237.1059803285605
570,-3428595.9152034232,1232.0978085720062
580,-3427870.561422155,1230.244205621633
590,-3426624.785321503,1227.0671963071384
600,-3426470.5428879797,1226.674414619311
610,-3426411.9256212898,1226.5251774557594
620,-3426572.9520077943,1226.9351876256223
630,-3426171.7104605893,1225.9137891157886
640,-3423501.566830841,1219.1383075523415
650,-3422239.5881883637,1215.9490848407613
660,-3422520.5351258777,1216.6583601813709
670,-3420935.457637463,1212.662102776072
680,-3422664.7546934215,1217.022615894638
690,-3421987.230874533,1215.3123390470855
700,-3421825.9485982955,1214.9055676603518
710,-3421443.456645784,1213.9414257187095
720,-3421963.1797399013,1215.2516708384671
730,-3419855.2473119865,1209.9462270852532
740,-3420189.0905055427,1210.7849289487372
750,-3420150.3321146322,1210.6875278600398
760,-3420571.7825590777,1211.7470672035888
770,-3419411.132539577,1208.8313944602705
780,-3419652.0130117154,1209.4359336121722
790,-3419757.2945017507,1209.7002541312575
800,-3419465.459256171,1208.9677121475893
810,-3419314.2977633057,1208.5884528114107
820,-3418814.001928748,1207.3340749203749
830,-3417629.434025979,1204.369228787675
840,-3418490.6126710684,1206.5239428328653
850,-3416368.802013414,1201.2219989906043
860,-3416820.150769604,1202.347867074961
870,-3417197.324716853,1203.28951893477
880,-3416341.2641248344,1201.153341165994
890,-3416142.7549678073,1200.6585316244684
900,-3414476.5588635462,1196.5133516029248
910,-3415825.7359231273,1199.8687436414814
920,-3413992.067872775,1195.3107177065378
930,-3414982.1363855703,1197.7696179697873
940,-3416391.592573535,1201.2788236816589
950,-3417339.0650276337,1203.6435781771315
960,-3415409.399057312,1198.8323147578576
970,-3415028.4634474306,1197.884798073615
980,-3416145.74033062,1200.6659715143996
990,-3414830.514984498,1197.3927285057773
1000,-3415152.7758922693,1198.193923143122
